application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d,generic_name,is_priority_review,filing_found,filing_text,phase_num,enrollment,phase,primary_endpoint,trial_found,approval_year,approval_month,approval_quarter
NDA019201,NVS,NOVARTIS,VOLTAREN,2021-04-28,-1.62,0,-0.9726611471691626,DICLOFENAC SODIUM,-0.5855400437691198,1.1618950038622253,"8-K filing found for Novartis, filed on 2021-04-29",0.7699437326835237,0.8113627230959355,PHASE3,Pain score using visual analog scale(VAS) of each topical NSAIDs pre-treated eyes.,0.8237544710479143,2021,-0.5549215766253639,-0.24198875709123052
BLA761105,ABBV,ABBVIE INC,SKYRIZI,2021-04-26,0.49,1,-0.49774270596291814,RISANKIZUMAB-RZAA,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie Inc, filed on 2021-04-30",1.3832887400754834,0.2527455813299729,PHASE4,Determination of regulatory immune cell changes induced by risankizumab,0.8237544710479143,2021,-0.5549215766253639,-0.24198875709123052
BLA761099,PFE,PFIZER INC,ZIRABEV,2021-02-09,-1.12,0,-0.6422526009237547,BEVACIZUMAB-BVZR,-0.5855400437691198,1.1618950038622253,"8-K filing found for Pfizer Inc, filed on 2021-02-02",0.7699437326835237,1.966538506680712,PHASE3,Overall Survival,0.8237544710479143,2021,-1.1345063344340771,-1.11687118657491
NDA208944,SUPN,SUPERNUS PHARMS,GOCOVRI,2021-02-01,0.37,1,1.0169454746168796,AMANTADINE HYDROCHLORIDE,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,-0.020883064557141527,PHASE4,"Changes in the Metabolite Ratios of N-acetylaspartate (NAA) to Creatine (Cr), Myo-inositol (mI) to Cr, Choline (Cho) to Cr, NAA to Cho, and NAA to mI, on Cholinesterase Monotherapy vs Combination of Memantine and Cholinesterase Inhibitor",0.8237544710479143,2021,-1.1345063344340771,-1.11687118657491
NDA210656,PFE,PFIZER,DAURISMO,2020-03-19,-11.96,0,3.4541118681748326,GLASDEGIB MALEATE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Pfizer, filed on 2020-03-17",-0.45674628210039553,0.5510719226429501,PHASE1,Number of Participants With a Response,0.8237544710479143,2020,-0.8447139555297205,-1.11687118657491
BLA125117,BMRN,BIOMARIN,NAGLAZYME,2019-12-17,1.78,1,0.09124034165416128,GALSULFASE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Biomarin, filed on 2019-12-19",1.3832887400754834,-0.42070676930696554,PHASE4,Change in Height,0.8237544710479143,2019,1.7634174546094892,1.5077761018761282
NDA212726,RHHBY,GENENTECH INC,ROZLYTREK,2019-08-15,1.33,1,-0.35014619188641327,ENTRECTINIB,1.7078251276599332,1.1618950038622253,"8-K filing found for Genentech Inc, filed on 2019-08-14",0.1565987252915641,1.2212294572627727,PHASE2,Confirmed Objective Response Rate (ORR) Assessed by Investigator According to Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST v1.1) or Response Assessment in Neuro-Oncology (RANO) Criteria for Primary Central Nervous System (CNS) Tumors,0.8237544710479143,2019,0.6042479389920627,0.6328936723924489
NDA022044,MRK,MSD SUB MERCK,JANUMET,2019-08-12,-2.48,0,-0.1671938588486162,METFORMIN HYDROCHLORIDE,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,0.7234605281682578,PHASE4,Cardiac global longitudinal strain (GLS),0.8237544710479143,2019,0.6042479389920627,0.6328936723924489
NDA022426,TAK,TAKEDA PHARMS USA,OSENI,2017-12-21,0.88,1,-0.6603514130110826,ALOGLIPTIN BENZOATE,-0.5855400437691198,-0.8606629658238706,,-0.45674628210039553,0.2527455813299729,PHASE1,AUClast (Area under the plasma concentration-time curve),0.8237544710479143,2017,1.7634174546094892,1.5077761018761282
NDA208624,ABBV,ABBVIE,VIEKIRA XR,2017-11-09,-0.62,0,0.0923627486053136,DASABUVIR SODIUM,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie, filed on 2017-11-07",-1.070091289492355,-1.094159119943904,UNKNOWN,,-1.2139539573337683,2017,1.4736250757051326,1.5077761018761282
NDA208215,GILD,GILEAD SCIENCES INC,DESCOVY,2017-09-28,-0.41,0,0.32021135968919556,EMTRICITABINE,1.7078251276599332,1.1618950038622253,"8-K filing found for Gilead Sciences Inc, filed on 2017-09-28",0.7699437326835237,1.248441609799553,PHASE3,number (%) of patients with fully suppressed HIV RNA < 50 cps/ml at week 48,0.8237544710479143,2017,0.8940403178964194,0.6328936723924489
NDA205060,AZN,ASTRAZENECA,EPANOVA,2017-03-09,2.24,1,-0.818470492254639,OMEGA-3-CARBOXYLIC ACIDS,-0.5855400437691198,1.1618950038622253,"8-K filing found for Astrazeneca, filed on 2017-03-02",0.7699437326835237,0.137910372458997,PHASE3,Percent Change From Baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Week 12: Intent-to-Treat (ITT) Analysis,0.8237544710479143,2017,-0.8447139555297205,-1.11687118657491
NDA202107,CORT,CORCEPT THERAP,KORLYM,2016-10-25,-1.28,0,1.0203126954703357,MIFEPRISTONE,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,1.536150605048142,PHASE4,Acceptability: Satisfaction With Mail-Order Dispensing of Medication Abortion,0.8237544710479143,2016,1.183832696800776,1.5077761018761282
NDA203952,ABBV,ABBVIE,DUOPA,2016-09-15,-0.68,0,-1.0607700928346047,CARBIDOPA,-0.5855400437691198,-0.8606629658238706,,0.1565987252915641,0.9489979394589682,PHASE2,Cocaine Treatment Outcome,0.8237544710479143,2016,0.8940403178964194,0.6328936723924489
NDA205065,BMRN,BIOMARIN PHARM,KUVAN,2016-08-09,-7.08,0,1.936617670217155,SAPROPTERIN DIHYDROCHLORIDE,-0.5855400437691198,-0.8606629658238706,,0.1565987252915641,0.4698293824334869,PHASE2,Clinical Global Impressions Scale,0.8237544710479143,2016,0.6042479389920627,0.6328936723924489
BLA125409,RHHBY,GENENTECH,PERJETA,2016-03-22,-0.86,0,-0.5594750882762852,PERTUZUMAB,-0.5855400437691198,1.1618950038622253,"8-K filing found for Genentech, filed on 2016-03-29",0.1565987252915641,0.5591972162403636,PHASE2,Change From Baseline in Mean Duration of the QTc Interval,0.8237544710479143,2016,-0.8447139555297205,-1.11687118657491
NDA202123,GILD,GILEAD SCIENCES INC,COMPLERA,2016-03-09,1.12,1,0.41266963229035225,EMTRICITABINE,1.7078251276599332,1.1618950038622253,"8-K filing found for Gilead Sciences Inc, filed on 2016-03-11",0.7699437326835237,1.248441609799553,PHASE3,number (%) of patients with fully suppressed HIV RNA < 50 cps/ml at week 48,0.8237544710479143,2016,-0.8447139555297205,-1.11687118657491
NDA202813,TEVA,TEVA BRANDED PHARM,QNASL,2016-02-29,-1.21,0,0.7955507035021223,BECLOMETHASONE DIPROPIONATE,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,0.39353884643575077,PHASE4,High resolution Cat Scans,0.8237544710479143,2016,-1.1345063344340771,-1.11687118657491
NDA021323,ABBV,ABBVIE,LEXAPRO,2016-01-28,-4.76,0,1.8701150583613912,ESCITALOPRAM OXALATE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie, filed on 2016-01-29",1.3832887400754834,0.8157443282857804,PHASE4,Ham-D-17,0.8237544710479143,2016,-1.4242987133384337,-1.11687118657491
NDA021332,AZN,ASTRAZENECA AB,SYMLIN,2015-03-20,0.78,1,-0.15835490410829325,PRAMLINTIDE ACETATE,-0.5855400437691198,-0.8606629658238706,,0.7699437326835237,0.3427566734836869,PHASE3,Area under the curve for glucose,0.8237544710479143,2015,-0.8447139555297205,-1.11687118657491
BLA125085,RHHBY,GENENTECH,AVASTIN,2014-08-14,1.34,1,-1.0484236163719312,BEVACIZUMAB,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2014,0.6042479389920627,0.6328936723924489
NDA021035,UCBJY,UCB INC,KEPPRA,2014-03-07,-1.92,0,0.1171960023995542,LEVETIRACETAM,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2014,-0.8447139555297205,-1.11687118657491
BLA125156,RHHBY,GENENTECH,LUCENTIS,2014-02-27,-3.6,0,-0.10069124699285276,RANIBIZUMAB,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2014,-1.1345063344340771,-1.11687118657491
BLA125104,BIIB,BIOGEN IDEC,TYSABRI,2013-12-15,1.93,1,2.287369842452195,NATALIZUMAB,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,1.7634174546094892,1.5077761018761282
BLA125418,SNY,SANOFI AVENTIS US,ZALTRAP,2013-10-25,0.7,1,-0.47852148692443786,ZIV-AFLIBERCEPT,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,1.183832696800776,1.5077761018761282
NDA020164,SNY,SANOFI AVENTIS US,LOVENOX (PRESERVATIVE FREE),2013-09-27,1.93,1,-0.057338278504601575,ENOXAPARIN SODIUM,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,0.8940403178964194,0.6328936723924489
NDA022037,TAK,TAKEDA PHARMS USA,INTUNIV,2013-08-23,0.87,1,-0.36557928746475493,GUANFACINE HYDROCHLORIDE,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,0.6042479389920627,0.6328936723924489
BLA125151,SHPG,SHIRE,ELAPRASE,2013-06-24,0.44,1,-0.4604226748371099,IDURSULFASE,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,0.024663181183349408,-0.24198875709123052
NDA019813,JNJ,JANSSEN PHARMS,DURAGESIC-100,2013-04-15,1.4,1,-1.2898814117385329,FENTANYL,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,-0.5549215766253639,-0.24198875709123052
NDA022433,AZN,ASTRAZENECA,BRILINTA,2013-03-29,-0.14,0,-0.5030741389808908,TICAGRELOR,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,-0.8447139555297205,-1.11687118657491
NDA022030,PFE,PFIZER,TOVIAZ,2013-01-23,1.2,1,-0.636079362692418,FESOTERODINE FUMARATE,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2013,-1.4242987133384337,-1.11687118657491
NDA203585,TEVA,TEVA PHARMS INTL,SYNRIBO,2012-10-26,1.4,1,-0.5385702588110767,OMACETAXINE MEPESUCCINATE,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2012,1.183832696800776,1.5077761018761282
BLA125118,BMY,BRISTOL MYERS SQUIBB,ORENCIA,2011-08-18,-1.61,0,0.5187370891742282,ABATACEPT,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2011,0.6042479389920627,0.6328936723924489
NDA022033,JAZZ,JAZZ PHARMS,LUVOX CR,2011-05-09,2.46,1,0.9563354992546645,FLUVOXAMINE MALEATE,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2011,-0.26512919772100724,-0.24198875709123052
NDA022081,GILD,GILEAD,LETAIRIS,2011-03-03,5.2,1,-0.06772054280275887,AMBRISENTAN,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2011,-0.8447139555297205,-1.11687118657491
NDA020552,PFE,PFIZER,COVERA-HS,2010-04-13,-1.74,0,-0.741445315231824,VERAPAMIL HYDROCHLORIDE,1.7078251276599332,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2010,-0.5549215766253639,-0.24198875709123052
BLA125276,RHHBY,GENENTECH,ACTEMRA,2010-01-08,1.07,1,-0.2933243399843368,TOCILIZUMAB,-0.5855400437691198,-0.8606629658238706,,-1.070091289492355,-1.094159119943904,,,-1.2139539573337683,2010,-1.4242987133384337,-1.11687118657491
